"","V1","Arrest","Age","Sex","Race","ArrestDate","ArrestTime","ArrestLocation","IncidentOffense","IncidentLocation","Charge","ChargeDescription","District","Post","Neighborhood","Latitude","Longitude","Hour","Description","Hour_c"
"1","15542",16047574,48,"Male",3,"04/01/2016","2016-12-12 19:10:00","1500 MONTPELIER ST","Unknown Offense","1500 Montpelier St","4 3550","Cds:Possess-Not Marihuana || Possession Of Cocaine","Northeastern",411,"COLDSTREAM HOMESTEAD MONTEBELLO",39.3217493903,-76.5982718913,"Evening (3pm to 8pm)","Age: 48 ; Race: White ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Possession Of Cocaine ; District: Northeastern ; Time: Evening (3pm to 8pm)",3
"2","96422",13769380,47,"Female",1,"10/17/2013","2016-12-12 18:30:00","800 N CURLEY ST","87-Narcotics","800 N Curley St","4 3550","Cds:Possess-Not Marihuana || Poss Cocaine","Eastern",334,"MADISON-EASTEND",39.3005221885,-76.5760721488,"Evening (3pm to 8pm)","Age: 47 ; Race: Black ; Gender: Female ; Charge: Cds:Possess-Not Marihuana || Poss Cocaine ; District: Eastern ; Time: Evening (3pm to 8pm)",3
"3","70232",14094948,34,"Male",3,"06/10/2014","2016-12-12 17:30:00","2200 BROOKFIELD AVE","Unknown Offense","2200 Brookfield Av","4 3550","Cds:Possess-Not Marihuana || Cds","Central",134,"RESERVOIR HILL",39.3131189164,-76.6332104843,"Evening (3pm to 8pm)","Age: 34 ; Race: White ; Gender: Male ; Charge: Cds:Possess-Not Marihuana || Cds ; District: Central ; Time: Evening (3pm to 8pm)",3
"4","55069",14180553,41,"Male",1,"10/25/2014","2016-12-12 09:20:00","5300 EASTBURY AVE","Unknown Offense","5300 Moravia Rd","2 0480","Motor Veh/Unlawful Taking || Stolen Ato","Northeastern",436,"FRANKFORD",39.3217021834,-76.5507776151,"Daytime (9am to 2pm)","Age: 41 ; Race: Black ; Gender: Male ; Charge: Motor Veh/Unlawful Taking || Stolen Ato ; District: Northeastern ; Time: Daytime (9am to 2pm)",2
"5","11085",16079658,34,"Male",2,"06/02/2016","2016-12-12 02:03:00","UNIT N PATTERSON PARK AVE","4E-Common Assault","UNIT N Patterson Park Ave","1 1415","Asslt-Sec Degree || Commont Assault","Southeastern",213,"BUTCHER'S HILL",39.292467551,-76.5847733901,"Night (9pm to 2am)","Age: 34 ; Race: Unknown ; Gender: Male ; Charge: Asslt-Sec Degree || Commont Assault ; District: Southeastern ; Time: Night (9pm to 2am)",4
"6","122271",13648045,25,"Male",1,"03/11/2013","2016-12-12 23:50:00","600 LAURENS ST","Unknown Offense","","","Drivingwithoutalic","Central",131,"Upton",39.3042766852,-76.6356789283,"Night (9pm to 2am)","Age: 25 ; Race: Black ; Gender: Male ; Charge: Drivingwithoutalic ; District: Central ; Time: Night (9pm to 2am)",4
"7","66721",14113576,20,"Male",1,"07/11/2014","2016-12-12 01:00:00","1700 LANCASTER ST","Unknown Offense","1700 Lancaster St","2 2220","Trespass: Private Property || Disorderly","Southeastern",215,"FELLS POINT",39.2826036119,-76.5928304309,"Night (9pm to 2am)","Age: 20 ; Race: Black ; Gender: Male ; Charge: Trespass: Private Property || Disorderly ; District: Southeastern ; Time: Night (9pm to 2am)",4
"8","90867",13795526,38,"Female",1,"12/10/2013","2016-12-12 07:30:00","600 W LAFAYETTE AVE","87-Narcotics","600 W Lafayette Av","4 3550","Cds:Possess-Not Marihuana || Cds","Central",132,"UPTON",39.3010706425,-76.6318655113,"Morning (3am to 8am)","Age: 38 ; Race: Black ; Gender: Female ; Charge: Cds:Possess-Not Marihuana || Cds ; District: Central ; Time: Morning (3am to 8am)",1
"9","99903",13752395,25,"Female",1,"09/17/2013","2016-12-12 21:30:00","200 HERRING CT","Unknown Offense","200 Herring Ct","2A3550","Att-Cds Manuf/Dist. || Cds","Southeastern",212,"Perkins Homes",39.2889367422,-76.5951382012,"Night (9pm to 2am)","Age: 25 ; Race: Black ; Gender: Female ; Charge: Att-Cds Manuf/Dist. || Cds ; District: Southeastern ; Time: Night (9pm to 2am)",4
"10","21622",16006181,54,"Male",1,"01/13/2016","2016-12-12 06:20:00","3200 W BELVEDERE AVE","Unknown Offense","Park Heights Av & W Belvedere Av","5 3550","Cds:Poss Para || Poss. Cocaine","Northwestern",633,"ARLINGTON",39.3488661174,-76.6763087742,"Morning (3am to 8am)","Age: 54 ; Race: Black ; Gender: Male ; Charge: Cds:Poss Para || Poss. Cocaine ; District: Northwestern ; Time: Morning (3am to 8am)",1
"11","113532",13688998,31,"Male",1,"05/25/2013","2016-12-12 18:20:00","900 BENNETT PL","87O-Narcotics (Outside)","900 Bennett Pl","1 1635","Cds: Poss Marihuana L/T 10 G || Cds Violation","Western",714,"Harlem Park",39.2950485351,-76.6325020135,"Evening (3pm to 8pm)","Age: 31 ; Race: Black ; Gender: Male ; Charge: Cds: Poss Marihuana L/T 10 G || Cds Violation ; District: Western ; Time: Evening (3pm to 8pm)",3
