"","name","group","size"
"15542",16047574,3,48
"96422",13769380,3,47
"70232",14094948,3,34
"55069",14180553,2,41
"11085",16079658,4,34
"122271",13648045,4,25
"66721",14113576,4,20
"90867",13795526,1,38
"99903",13752395,4,25
"21622",16006181,1,54
"113532",13688998,3,31
"18892",16024213,3,37
"130129",13613044,3,35
"46853",15020182,2,16
"11819",16074154,4,20
"98632",13758734,4,52
"33476",15116938,2,19
"34321",15111146,4,47
"20249",16014750,2,35
"48313",15010768,2,39
"129415",13616699,3,19
"17407",16034596,3,23
"116017",13677619,3,24
"37990",15084518,4,28
"72929",14081851,2,43
"22052",16003554,2,27
"80532",14040708,3,25
"36140",15098877,2,40
"57204",14167024,2,58
"105764",13725435,3,60
"124665",13637897,2,31
"32056",15126310,4,33
"111668",13697201,1,47
"86785",14009122,2,48
"128011",13622888,2,54
"105852",13724689,4,21
"11217",16078765,2,30
"125482",13634348,2,28
"25969",15170043,2,19
"59015",14155784,2,22
"75542",14067167,2,46
"57420",14165567,2,28
"126151",13631491,4,25
"128230",13621925,3,36
"102158",13742011,3,32
"53362",14190485,3,31
"58128",14161629,3,61
"117165",13672219,2,20
"48059",15012734,3,43
"52581",14196007,2,23
"42367",15049360,4,46
"32622",15122487,3,27
"105378",13726794,3,29
"19207",16021910,3,21
"50739",14209755,2,31
"19080",16022663,3,25
"59038",14155465,4,27
"103888",13734117,3,52
"65662",14118760,4,29
"32721",15122173,2,26
"62508",14136660,2,53
"42180",15050907,3,17
"116701",13674294,3,21
"120195",13657794,3,38
"92808",13785900,2,34
"57086",14167881,2,18
"112459",13693850,2,33
"109572",13707266,3,51
"35816",15100555,4,26
"112264",13694547,3,19
"65299",14120600,3,53
"13265",16064157,3,35
"100282",13750563,3,56
"119222",13662155,4,52
"95160",13774939,4,32
"119080",13662597,4,50
"33520",15116566,3,51
"76807",14060538,4,20
"51932",14199493,3,21
"12566",16069673,2,25
"40452",15062954,2,22
"114677",13683605,4,18
"85519",14015342,1,20
"99422",13754624,4,24
"118668",13664660,3,24
"108256",13712919,2,47
"109695",13706733,3,23
"77361",14057561,4,25
"71684",14087540,3,27
"129479",13616261,1,54
"821",16154635,2,42
"67017",14111874,4,21
"10688",16082502,2,22
"46979",15019368,2,20
"47952",15013012,1,23
"23408",15188383,2,58
"77598",14056550,2,33
"106328",13722419,3,22
"114010",13686920,1,33
"124873",13636870,1,45
