"","word","n"
"1","1",19
"2","1,0",29
"3","1,00",2
"4","1,000",968
"5","1,000.00",13
"6","10",627
"7","10,0",1
"8","10,000",246
"9","100",61
"10","100,000",60
"11","100.0",2
"12","100.00",701
"13","1000",33
"14","1000.00",7
"15","100k",7
"16","101",1
"17","105",1
"18","10k",38
"19","12",13
"20","1415",2
"21","1420",1
"22","16",7
"23","1635",1
"24","1k",34
"25","1s",2
"26","1st",330
"27","2",5
"28","20",1
"29","2n",2
"30","2nd",591
"31","300",25
"32","3010",1
"33","3rd",6
"34","4",3
"35","4th",473
"36","50",2
"37","50.00",1
"38","500",371
"39","500.00",8
"40","aasailt",1
"41","abd",2
"42","abduct",18
"43","abducted",8
"44","abduction",4
"45","abus",1
"46","abuse",262
"47","abuse:custodian",94
"48","abuse:parent",117
"49","abused",1
"50","acc",1
"51","access",7
"52","accessary",1
"53","accesso",1
"54","accessory",5
"55","accident",9
"56","acident",1
"57","act",3
"58","addre",1
"59","address",2
"60","admin",8
"61","affid",2
"62","affray",63
"63","ag",1
"64","agency",1
"65","agg",397
"66","agg.assault",8
"67","aggarted",1
"68","aggarvated",1
"69","aggrava",1
"70","aggravate",2
"71","aggravated",310
"72","aggravatted",1
"73","aggravted",1
"74","aggressive",1
"75","aggrevated",12
"76","aggrivated",8
"77","aggrvated",2
"78","agncy",15
"79","agree",1
"80","agrravated",1
"81","ahh",1
"82","alabama",1
"83","alc",39
"84","alco",1
"85","alcohol",5
"86","alluding",1
"87","alprazolam",2
"88","alter",17
"89","ammo",12
"90","amount",2
"91","amt",24
"92","animal",32
"93","animals",1
"94","anot",2
"95","anoth",6
"96","another's",13
"97","aplrazolam",1
"98","applicable",1
"99","applicatio",1
"100","ar",1
"101","armed",246
"102","arrest",67
"103","arson",121
"104","asault",7
"105","asl",1
"106","aslt",7
"107","ass",7
"108","assaault",1
"109","assailt",1
"110","assalt",3
"111","assalut",1
"112","assaqult",1
"113","assaualt",1
"114","assault",4935
"115","assaultt",1
"116","assaut",5
"117","assautl",1
"118","asslt",4420
"119","assualt",46
"120","assult",14
"121","asualt",1
"122","att",557
"123","attaching",1
"124","attemp",1
"125","attemped",1
"126","attempt",36
"127","attempted",11
"128","attempting",2
"129","attepted",1
"130","auth",1
"131","auto",173
"132","avoid",7
"133","bad",4
"134","baltimore",1
"135","balto",2
"136","battery",4
"137","bb",4
"138","bd",7
"139","benefit",2
"140","bev",31
"141","bike",5
"142","boat",4
"143","bodi",1
"144","bodily",1
"145","breaki",1
"146","breaking",31
"147","bu",1
"148","buglary",2
"149","buprenorphine",1
"150","burg",2
"151","burgl",1
"152","burgla",6
"153","burglary",944
"154","burglury",1
"155","burgulary",1
"156","burlary",2
"157","burning",16
"158","bus",2
"159","buy",1
"160","c.d.s",6
"161","ca",3
"162","california",2
"163","call",5
"164","calls",64
"165","cantainer",1
"166","caocaine",1
"167","car",2
"168","card",3
"169","card:counterfeit",2
"170","card:steal",13
"171","cards",7
"172","carjacking",12
"173","carolina",3
"174","carroll",1
"175","ccds",1
"176","cd",3
"177","cdc",1
"178","cds",5963
"179","cds:admin",24
"180","cds:import",2
"181","cds:mfg",1
"182","cds:obtain",27
"183","cds:p",412
"184","cds:pos",2
"185","cds:poss",335
"186","cds:possess",3208
"187","cdsposs",1
"188","cdsviolation",1
"189","ced",1
"190","ch",1
"191","change",3
"192","charg",2
"193","charge",1097
"194","check",6
"195","chem",28
"196","chil",1
"197","child",594
"198","children",1
"199","chld",13
"200","citation",3
"201","ck",7
"202","clonazepam",2
"203","coaine",1
"204","coc",2
"205","cocai",1
"206","cocain",4
"207","cocaina",1
"208","cocaine",468
"209","cocsine",1
"210","combat",1
"211","comm",9
"212","comman",4
"213","commercial",22
"214","commerical",1
"215","commit",1
"216","commn",1
